,title,salary,jobtype,description,location
1690,Data Engineer,,Remote,Create data tools for data science and BI teams to assist them in building and optimizing our product into an innovative industry leader.,New York State•Remote
1691,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1692,Data Scientist,,,"2-3 years work experience developing data science projects.Execute on end-to-end data science projects (ideation, data engineering, modeling, interpretation,…","New York, NY 10019 (Midtown area)"
1693,Postdoctoral Research Associate,,,Individuals with skills and knowledge relevant to some of the following topics are encouraged to apply: energy resource planning & optimization; modeling of…,"Princeton, NJ 08544"
1694,"Manager, Data Science & Analytics","$110,700 - $135,300 a year",Remote,"Expert knowledge in data analysis and preparation, including experience with very large data sets (requiring big-data techniques) and sparse or poor-quality…",Remote•Remote
1695,Data Scientist,,,Experience of working with common relational and/or nonrelational databases and common web data and social data sources.At least 18 years of age.,"Overland Park, KS 66251+1 location"
1696,Data Science Manager,,,"You will work closely with other data scientists, engineers and partners across Marketing, Sales and R&D to derive insights from diverse data sources, help the…","Pleasanton, CA"
1697,"Associate, Rotational Development– Data Science Track Corp S...",,,"EDUCATION: Bachelor’s or Master's degree in computer science, data science, mathematics, industrial engineering or a related field.","Jacksonville, FL 32225 (Regency area)"
1698,Data Scientist,,Remote,Design and develop data analytics system for networking telemetry and configuration data;Qualification: Bachelors’ degree in Computer Science or a related…,"Menlo Park, CA•Remote"
1699,Research Data Analyst,,,"Analyze data processes in documentation.Research in IBIIS and AIMI enables improving health by advancing the clinical and basic sciences in radiology, while…","Stanford, CA"
1700,Data Science Analytics Lead,,,"The Product Operations Data team drives strategic initiatives for better data collection and reporting, ensure data integrity across multiple data sources, and…","Santa Clara Valley, CA 95014"
1701,Data Analyst,,,"As a Data Scientist, you will support the Surface Mining Division in matters related to data science, analytics and digitalization, including driving and…","Garland, TX"
1702,"Data Scientist, Product Incubation & DesignOps",,,Present information using data visualisation techniques.Undertake preprocessing of structured and unstructured data.Combine models through ensemble modelling.,"Dallas, TX 75201+7 locations (Near East area)"
1703,Associate Data Scientist,,,"2+ years of work experience in software engineering and data science.This role will require hybrid knowledge of software engineering and data science,…","San Francisco, CA 94108 (Financial District area)"
1704,"Senior Data Scientist, Programming Responsibility",,Remote,Great skills in risk evaluation metrics development is a must as is significant experience in data ecosystems and data collection strategies.,"New York, NY•Remote"
1705,Post Doctorate RA - Data Science,,,"Proficiency in Python language and data science packages (e.g., Numpy, Pandas, SciPy, Matplotlib).The Pacific Northwest National Laboratory (PNNL) seeks a post…","Richland, WA"
1706,Lead Data Engineer (Remote/Home-Based Opportunity),"$103,000 a year",Remote,"Development of enterprise data assets, information platforms or data spaces designed for exploring and understanding the data.","Northbrook, IL•Remote"
1707,"Advisor, Data Engineering",,,"Execute preliminary data exploration, data preparation steps and variable/algorithm selection as well as model development/validation and scoring.","Florida, MA"
1708,Head of Engineering and Data Science,"$140,000 - $190,000 a year",,"5+ years of hands-on software engineering and data science experience.We are full-stack developers (backend/frontend), “full-stack data” engineers (data…","San Francisco, CA"
1709,Head of Data Science - Uber Maps,,,6+ years of experience in data science related fields.Improve the understanding of data-driven product development across Uber.,"San Francisco, CA 94103 (South of Market area)"
1710,Software Engineer II - Machine Learning,,,"We combine our one-of-a-kind data, our cloud-base ML pipeline, and the latest Deep Learning and Computer Vision research to improve existing products and create…","Bellevue, WA 98004 (Downtown area)"
1711,Data Engineer,,,"Experience with GPU technology, NVIDIA data science development stacks, and CUDA programming.High level of enthusiasm and a love of data, software development,…","Houston, TX 77010 (Downtown area)"
1712,"Advanced Data Insight Analyst II--(Product Analyst, Search a...",,,"2+ years’ data analytics experience in a business context.You have that curious streak - want to investigate that data point, find that insight, understand how…","Seattle, WA 98119+1 location (Queen Anne area)"
1713,Principal Scientist - Computational Protein Scientist,,,"The goal is to apply the most effective computational methods, including structural modeling, machine learning, and data science techniques to advance our…","Thousand Oaks, CA"
1714,"Imagery Analyst, Senior",,,You will recommend the most efficient analytic strategies to acquire and accurately mensurate the data they require.Experience as a geospatial analyst.,"Springfield, VA"
1715,Principal Statistician,,,"Program, document, and validate software code to execute data handling tasks, perform data analysis, and produce data visualization results.","Franklin Lakes, NJ"
1716,"Sr. Director, Data Science",,,Experience building and deploying high performance deep-learning models using either Tensorflow or PyTorch on significant complexity industrial/commercial data…,"Berkeley, CA 94704"
1717,"Hiring Pool - Mathematical Sciences, School of",,,"Depending on need and the instructor’s background, assignments could be in mathematics, computer science, or statistics, and could include mathematics courses…","Greeley, CO 80639"
1718,Senior Data Scientist,,,"Contribute to ongoing expansion of data science expertise and credentials by keeping up with industry best practices, developing new skills, and knowledge…","Minneapolis, MN"
1719,Trade Analyst,,,"Manage year-over-year Trade trackers and maintain historical Trade files, IFR data updates, process mapping and the team site.","East Hanover, NJ 07936"
1720,Assistant or Associate Professor Industrial Engineering,,,"A Ph.D. degree in industrial engineering, systems engineering, data science, or a closely related field is required.","San Luis Obispo, CA 93407"
1721,TEMPORARY- Clinical Laboratory Scientist- Data Review,,,Maintains quality control and LC-MS-MS chromatographic data prior to release or results to physicians.Enters testing data and reviews chromatography and…,"San Diego, CA 92127"
1722,Software Engineer - DSPD,,,Experience with Python data science modules is preferred.Create tools to facilitate data analysis.You will work in an interdisciplinary team consists of…,"Stamford, CT 06902 (Downtown area)"
1723,"Lead Data Engineer, Direct-to-Consumer, Video Quality",,,Experience with multi-billion record datasets and leading projects that span the disciplines of data science and data engineering.Must be 18 years or older.,"Stamford, CT"
1724,Data Science and Engineering Lead – HealthIO,,,"Demonstrated experience in leading data science, machine learning, or data engineering organizations with track records of delivering production ready data…","Brookfield, WI 53005"
1725,Marketing Analyst,,,Take broad business ideas and narrow them down into actionable data driven insights.Possess basic skills in SQL Proficient in Tableau or other data…,"Columbus, OH"
1726,Senior Scientific Engineering Associate,,,"Develop, implement, and optimize advanced data analyses.Demonstrated outstanding data analysis skills and proficiency in C/C++ and Python.","San Francisco Bay Area, CA"
1727,"AI/ML - Sr Data Scientist - Search Insights, Siri Data",,,"Define the instrumentation required for yielding sufficient data.Build analytic, visualization, and other information products with a drive to automate and…","Seattle, WA"
1728,Visiting Faculty Member: Biostatistics and Health Data Scien...,,,"We are seeking candidates with expertise in biostatistics and health data science at the level of Associate or Full Professor are preferred, but candidates at…","Portland, ME"
1729,Senior Data Scientist,,,"Strong background in data science, mathematics, or computer science preferred.Experience with big data analytics solutions.","Washington, DC 20036 (Dupont Circle area)"
1730,Statistician Intermediate,,,"This position involves a wide range of tasks including data management, programming and statistical analysis using both existing data and newly-collected data.","Ann Arbor, MI 48109"
1731,CDC Environmental Data Science Fellowship,,,"The participant will strengthen their skills in data science, data analysis, and data visualization.Knowledge of environmental data and statistics.","Atlanta, GA 30329"
1732,Application Consultant - DATA INTEGRATION L3,,,"Document data lineage across the full lifecycle (ILM) of information systems including data ingestion, data producing, data extraction, and data presentment…","Des Plaines, IL"
1733,Operations Analyst (REMOTE),,,"Participate in the data science product development review process, in particular implementing code review, testing, and data profiling of newly developed…",Remote
1734,Systems and Statistical Analyst,,,"Complete projects that require data mining, analysis, and presentation.Focus on solutions, dive into projects, quickly identify drivers in the data.","Fort Wayne, IN 46818"
1735,"Data Scientist, Financial Optimization - Advisor",,,"Preparing data for analysis, working with data engineering team to create modeling dataset, assess completeness and quality of data, and perform feature…","Chicago, IL"
1736,"Senior Associate, Data Scientist",,,"Ability to utilize one or more common data science scripting languages (e.g. Python, R); experience with common frameworks for ML/AI (e.g. Scikit-Learn,…","Cleveland, OH 44114+15 locations (Downtown area)"
1737,Postdoctoral Research Associate IDRT,"$3,000 a month",,"Recent peer-reviewed publications in computer science fields relevant to machine learning, big data analysis or high-performance computing.","Galveston, TX 77554"
1738,Federal - Healthcare Analytics Consultant - Life Sciences,,,Experience working with large federal health and/or life sciences clients.Build client relationships by developing and delivering strategic solutions for…,"Arlington, VA"
1739,Postdoctoral Appointee - Collaborative Machine Learning Plat...,,,"This level of knowledge is typically achieved through a formal education in at the PhD level in the physical sciences, computer science or engineering, or a…","Lemont, IL 60439"
1740,Business Data Analyst,,,Experience with preparing large data sets for analysis.0-2 years of experience during coursework or as a data scientist in formal setting.,"Mountain View, CA 94041"
1741,Statistical Genetics Data Analyst III,,,Responsibilities include data analyses and generation of figures for new grant applications and independently write analytical method sections relating to the…,"San Diego, CA"
1742,Data Analyst,"$70,000 - $80,000 a year",,"Write SQL queries for reporting, ETL, and general data analysis.Queries range in complexity depending on use case, but often require querying relational data.","Philadelphia, PA 19107 (Washington Square area)"
1743,Junior Business/Data Visualization Analyst,,Remote,"Transforms client requests into data deliverables to include data models, data mappings and data transformation.",Remote•Remote
1744,"Software Engineer, Data Science",,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote"
1745,Data Scientist,,Remote,Experience working with and creating data architectures.You love maintaining the infrastructure for data and related services.,"San Francisco, CA•Remote"
1746,Data Scientist,,,"Undergraduate or higher degree in data science, statistics, computer science, or other relevant areas.The nova platform integrates data from hundreds of…","New York, NY"
1747,"Data Scientist, Product Analytics (Knowledge Base)",,Remote,2-4 years experience in a data scientist or data analyst role in which you extracted meaning from big data sets with little engineering support.,"Brooklyn, NY 11201•Remote"
1748,Principal Data Scientist,,,"Analyze data, and design and implement data science or machine learning solutions.Proven experience turning data into successful products.","Cambridge, MA 02141 (East Cambridge area)"
1749,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1750,Quantitative Services Innovations Professional (Data Science...,,,Job Description:The Quantitative Services Innovations Professional will assist in software development and operational support of a reconciliation and machine…,"Chicago, IL 60661 (West Loop Gate area)"
1751,Data Labeling Quality Specialist - Federal,,,Label machine learning data from customers.Do post-process audits and write error reports on data and tasks.You will be working cross-functionally with Supply…,"St. Louis, MO"
1752,Supportability Program Manager - Big Data,,,"Strong Analytics Background, able to pull insightful data to drive decisions and improve product quality and customer experience.","Charlotte, NC"
1753,Data Analyst 3 – Cross-channel & Marketing KPIs,Up to $46.10 an hour,,The Marketing & Customer Analytics Organization is comprised of data scientists and data analysts responsible for designing and executing analytical solutions…,"Seattle, WA"
1754,Data Scientist,,Remote,"Develop strategies around data cleaning, data structure, and data tagging.Design and build new data set processes for modeling, data mining, and production…","Bolingbrook, IL 60440•Remote"
1755,Statistician (Operations and Administration),"$72,750 - $94,581 a year",,"Analyze difficult statistics and other qualitative/quantitative data, particularly workforce data, FEVS data, survey data, retention, and retirement data.","Washington, DC 20415 (Foggy Bottom area)"
1756,Senior Data Scientist,,,"As a Senior Data Scientist, you will be providing all the necessary technical expertise to architect, design, and model data including providing advanced and…","McLean, VA 22102"
1757,COVID-19 Senior Data Analyst - Temp,$46.41 - $53.37 an hour,Temporarily Remote,At least one year of experience supervising data analysts.Proficiency in navigating computer systems; ability to learn new data systems quickly and to comply…,"Long Island City, NY 11101•Temporarily Remote"
1758,"Principal Data Scientist, Translational Computing",,,Collaborate with other data scientists and engineers to develop rigorous data-driven methods to support translational drug development.,"South San Francisco, CA 94080"
1759,"Associate Director, Statistical Programming, Late Stage Resp...",,,"Experience of pharma and the life sciences, with a comprehensive understanding of the R&D drug development lifecycleExcellent interpersonal skills.","Durham, NC 27703+1 location"
1760,Sr. Software Engineer - Data and Insights at Scale (REMOTE),,Remote,"Develop data streams for gathering, aggregating, and processing raw data.The team works closely with Data Sciences and Data Platform teams to leverage the…","Baltimore, MD•Remote"
1761,Game Statistician,,,"Provide statistical recording of real time data during sporting events.Post in-game stats for various sports which include field hockey, football, golf,…","Oxford, OH"
1762,Senior Manager of Data Science,,,"6 years of experience in data science, data analysis, data mining or other similar business functions.2 years of experience leading data science technical…","Richfield, MN 55423"
1763,Data Analyst: Pyspark and Snowflake,,,"Must be hands-on on data analysis tools and frameworks such as Hive, Spark SQL or Python to analyze any amount of data to both solve business requirements and…","Hartford, CT+1 location"
1764,Data Scientist - RH,,,"This person’s primary focus will be to develop, refine, deploy, and productionize impactful data science projects to business users.","Rosemont, IL 60018"
1765,"Manager, Shopper Insights- eCommerce",,,"Comfortable with the ambiguous; balancing data science and data art.Turn online data into sound E-commerce propositions, recommendations, and activations.",Remote
1766,Interdisciplinary Senior Mathematical Statistician / Statist...,"$97,481 - $136,749 a year",,Contributing to primary data collection.Advising on how data should be collected for engagements.Evaluates and analyzes data to determine relevance and…,"Washington, DC"
1767,Sr Credit Risk Manager - Modeling & Data Science,,,"You will be expected to represent Credit Risk Management team in the role of a credit data, credit risk modeling and data science/machine learning expert.","Bellevue, WA 98006 (Factoria area)"
1768,Data Scientist,,,"Create data pipelines for more efficient and repeatable data science projects.Prioritize, scope, and manage data science projects and the corresponding key…","Louisville, KY"
1769,Senior Software Engineer/Data Pipeline Architect,,Remote,"Demonstrated knowledge of modern data science and data engineering orientated data pipeline management platforms, such as Amazon Redshift, Hadoop, Spark, or…",Remote•Remote
1770,Data Scientist-HomeKit,,,"Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.","Santa Clara Valley, CA 95014"
1771,Co-op - Data Science (Fall 2021 Semester),,,"Develop and implement data processing, including data curation and normalization.Based in our Elyria, OH location, you will directly support two major projects…","Elyria, OH"
1772,Data Analyst - Machine Learning Modeling,,Remote,"3+ years’ hands-on experience in digital data analytics related roles, experience in analyzing large data set.Health benefits and 401K offered.",Remote•Remote
1773,Data Analyst,,,"Experience with statistical analysis/data science.Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data,…","Redmond, WA"
1774,"Vice President, Data Science/Advanced Analytics","$139,000 - $191,000 a year",Remote,"Lead RDNA's data strategy including data storage, data modeling, data engineering for use in analytics, data process automation, and business continuity.",Maryland•Remote
1775,Data Engineer,,,The marketing and data science team requires an experienced and all-purpose data engineer to architect and manage a data warehouse (e.g. a datalake) along with…,"Philadelphia, NY"
1776,Data Science Trainee Summer 2021,,,Integrate internal data with external data sources and APIs to discover and implement actionable insights.Strong data cleaning and preparation skills.,"Rockville, MD 20852"
1777,PostgreSQL CloudSQL Data Engineers,,,,"San Diego, CA"
1778,Data Engineer / Data Scientist,,Remote,"Candidate responsibilities will be ranging from data engineering and machine learning, to data visualization and dashboard builds in Shiny App.",Remote•Remote
1779,Data Engineer,,Remote,Create data tools for data science and BI teams to assist them in building and optimizing our product into an innovative industry leader.,New York State•Remote
1780,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1781,Data Scientist,,,"2-3 years work experience developing data science projects.Execute on end-to-end data science projects (ideation, data engineering, modeling, interpretation,…","New York, NY 10019 (Midtown area)"
1782,Postdoctoral Research Associate,,,Individuals with skills and knowledge relevant to some of the following topics are encouraged to apply: energy resource planning & optimization; modeling of…,"Princeton, NJ 08544"
1783,"Manager, Data Science & Analytics","$110,700 - $135,300 a year",Remote,"Expert knowledge in data analysis and preparation, including experience with very large data sets (requiring big-data techniques) and sparse or poor-quality…",Remote•Remote
1784,Data Scientist,,,"The data scientist role involves solving technical, data-driven Healthcare problems using computer science, mathematical, predictive modeling and statistical…","Chicago, IL"
1785,Statistical Genetics Data Analyst III,,,Responsibilities include data analyses and generation of figures for new grant applications and independently write analytical method sections relating to the…,"San Diego, CA"
1786,Data Analyst,"$70,000 - $80,000 a year",,"Write SQL queries for reporting, ETL, and general data analysis.Queries range in complexity depending on use case, but often require querying relational data.","Philadelphia, PA 19107 (Washington Square area)"
1787,Junior Business/Data Visualization Analyst,,Remote,"Transforms client requests into data deliverables to include data models, data mappings and data transformation.",Remote•Remote
1788,"Software Engineer, Data Science",,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote"
1789,Data Scientist,,Remote,Experience working with and creating data architectures.You love maintaining the infrastructure for data and related services.,"San Francisco, CA•Remote"
1790,Data Scientist,,,"Undergraduate or higher degree in data science, statistics, computer science, or other relevant areas.The nova platform integrates data from hundreds of…","New York, NY"
1791,"Data Scientist, Product Analytics (Knowledge Base)",,Remote,2-4 years experience in a data scientist or data analyst role in which you extracted meaning from big data sets with little engineering support.,"Brooklyn, NY 11201•Remote"
1792,Principal Data Scientist,,,"Analyze data, and design and implement data science or machine learning solutions.Proven experience turning data into successful products.","Cambridge, MA 02141 (East Cambridge area)"
1793,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1794,Quantitative Services Innovations Professional (Data Science...,,,Job Description:The Quantitative Services Innovations Professional will assist in software development and operational support of a reconciliation and machine…,"Chicago, IL 60661 (West Loop Gate area)"
1795,Data Labeling Quality Specialist - Federal,,,Label machine learning data from customers.Do post-process audits and write error reports on data and tasks.You will be working cross-functionally with Supply…,"St. Louis, MO"
1796,Supportability Program Manager - Big Data,,,"Strong Analytics Background, able to pull insightful data to drive decisions and improve product quality and customer experience.","Charlotte, NC"
1797,Data Analyst 3 – Cross-channel & Marketing KPIs,Up to $46.10 an hour,,The Marketing & Customer Analytics Organization is comprised of data scientists and data analysts responsible for designing and executing analytical solutions…,"Seattle, WA"
1798,Data Scientist,,Remote,"Develop strategies around data cleaning, data structure, and data tagging.Design and build new data set processes for modeling, data mining, and production…","Bolingbrook, IL 60440•Remote"
1799,Sr. Customer Engineer - Data Analyst/PowerBI- CTJ,,Remote,"At least 3+ years of Business Intelligence experience like ETL, data warehousing management, data mining, report designer or developer in an enterprise…","Reston, VA 20190 (Sunset Hills area)•Remote"
1800,Sr. Software Engineer - Data and Insights at Scale (REMOTE),,Remote,"Develop data streams for gathering, aggregating, and processing raw data.The team works closely with Data Sciences and Data Platform teams to leverage the…","Baltimore, MD•Remote"
1801,Game Statistician,,,"Provide statistical recording of real time data during sporting events.Post in-game stats for various sports which include field hockey, football, golf,…","Oxford, OH"
1802,Senior Manager of Data Science,,,"6 years of experience in data science, data analysis, data mining or other similar business functions.2 years of experience leading data science technical…","Richfield, MN 55423"
1803,Data Analyst: Pyspark and Snowflake,,,"Must be hands-on on data analysis tools and frameworks such as Hive, Spark SQL or Python to analyze any amount of data to both solve business requirements and…","Hartford, CT+1 location"
1804,Data Scientist - RH,,,"This person’s primary focus will be to develop, refine, deploy, and productionize impactful data science projects to business users.","Rosemont, IL 60018"
1805,"Manager, Shopper Insights- eCommerce",,,"Comfortable with the ambiguous; balancing data science and data art.Turn online data into sound E-commerce propositions, recommendations, and activations.",Remote
1806,Interdisciplinary Senior Mathematical Statistician / Statist...,"$97,481 - $136,749 a year",,Contributing to primary data collection.Advising on how data should be collected for engagements.Evaluates and analyzes data to determine relevance and…,"Washington, DC"
1807,Sr Credit Risk Manager - Modeling & Data Science,,,"You will be expected to represent Credit Risk Management team in the role of a credit data, credit risk modeling and data science/machine learning expert.","Bellevue, WA 98006 (Factoria area)"
1808,Data Scientist,,,"Create data pipelines for more efficient and repeatable data science projects.Prioritize, scope, and manage data science projects and the corresponding key…","Louisville, KY"
1809,Senior Software Engineer/Data Pipeline Architect,,Remote,"Demonstrated knowledge of modern data science and data engineering orientated data pipeline management platforms, such as Amazon Redshift, Hadoop, Spark, or…",Remote•Remote
1810,Statistical Genetics Data Analyst III,,,Responsibilities include data analyses and generation of figures for new grant applications and independently write analytical method sections relating to the…,"San Diego, CA"
1811,Data Analyst,"$70,000 - $80,000 a year",,"Write SQL queries for reporting, ETL, and general data analysis.Queries range in complexity depending on use case, but often require querying relational data.","Philadelphia, PA 19107 (Washington Square area)"
1812,Junior Business/Data Visualization Analyst,,Remote,"Transforms client requests into data deliverables to include data models, data mappings and data transformation.",Remote•Remote
1813,"Software Engineer, Data Science",,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote"
1814,Data Scientist,,Remote,Experience working with and creating data architectures.You love maintaining the infrastructure for data and related services.,"San Francisco, CA•Remote"
1815,Data Scientist,,,"Undergraduate or higher degree in data science, statistics, computer science, or other relevant areas.The nova platform integrates data from hundreds of…","New York, NY"
1816,"Data Scientist, Product Analytics (Knowledge Base)",,Remote,2-4 years experience in a data scientist or data analyst role in which you extracted meaning from big data sets with little engineering support.,"Brooklyn, NY 11201•Remote"
1817,Principal Data Scientist,,,"Analyze data, and design and implement data science or machine learning solutions.Proven experience turning data into successful products.","Cambridge, MA 02141 (East Cambridge area)"
1818,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1819,Quantitative Services Innovations Professional (Data Science...,,,Job Description:The Quantitative Services Innovations Professional will assist in software development and operational support of a reconciliation and machine…,"Chicago, IL 60661 (West Loop Gate area)"
1820,Data Labeling Quality Specialist - Federal,,,Label machine learning data from customers.Do post-process audits and write error reports on data and tasks.You will be working cross-functionally with Supply…,"St. Louis, MO"
1821,Supportability Program Manager - Big Data,,,"Strong Analytics Background, able to pull insightful data to drive decisions and improve product quality and customer experience.","Charlotte, NC"
1822,Data Analyst 3 – Cross-channel & Marketing KPIs,Up to $46.10 an hour,,The Marketing & Customer Analytics Organization is comprised of data scientists and data analysts responsible for designing and executing analytical solutions…,"Seattle, WA"
1823,Data Scientist,,Remote,"Develop strategies around data cleaning, data structure, and data tagging.Design and build new data set processes for modeling, data mining, and production…","Bolingbrook, IL 60440•Remote"
1824,Sr. Customer Engineer - Data Analyst/PowerBI- CTJ,,Remote,"At least 3+ years of Business Intelligence experience like ETL, data warehousing management, data mining, report designer or developer in an enterprise…","Reston, VA 20190 (Sunset Hills area)•Remote"
1825,Data Scientist-HomeKit,,,"Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.","Santa Clara Valley, CA 95014"
1826,Co-op - Data Science (Fall 2021 Semester),,,"Develop and implement data processing, including data curation and normalization.Based in our Elyria, OH location, you will directly support two major projects…","Elyria, OH"
1827,Data Analyst - Machine Learning Modeling,,Remote,"3+ years’ hands-on experience in digital data analytics related roles, experience in analyzing large data set.Health benefits and 401K offered.",Remote•Remote
1828,Data Analyst,,,"Experience with statistical analysis/data science.Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data,…","Redmond, WA"
1829,"Vice President, Data Science/Advanced Analytics","$139,000 - $191,000 a year",Remote,"Lead RDNA's data strategy including data storage, data modeling, data engineering for use in analytics, data process automation, and business continuity.",Maryland•Remote
1830,Data Engineer,,,The marketing and data science team requires an experienced and all-purpose data engineer to architect and manage a data warehouse (e.g. a datalake) along with…,"Philadelphia, NY"
1831,Data Science Trainee Summer 2021,,,Integrate internal data with external data sources and APIs to discover and implement actionable insights.Strong data cleaning and preparation skills.,"Rockville, MD 20852"
1832,PostgreSQL CloudSQL Data Engineers,,,,"San Diego, CA"
1833,Data Engineer / Data Scientist,,Remote,"Candidate responsibilities will be ranging from data engineering and machine learning, to data visualization and dashboard builds in Shiny App.",Remote•Remote
1834,Data Engineer,,Remote,Create data tools for data science and BI teams to assist them in building and optimizing our product into an innovative industry leader.,New York State•Remote
1835,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1836,Data Scientist,,,"2-3 years work experience developing data science projects.Execute on end-to-end data science projects (ideation, data engineering, modeling, interpretation,…","New York, NY 10019 (Midtown area)"
1837,Postdoctoral Research Associate,,,Individuals with skills and knowledge relevant to some of the following topics are encouraged to apply: energy resource planning & optimization; modeling of…,"Princeton, NJ 08544"
1838,"Manager, Data Science & Analytics","$110,700 - $135,300 a year",Remote,"Expert knowledge in data analysis and preparation, including experience with very large data sets (requiring big-data techniques) and sparse or poor-quality…",Remote•Remote
1839,Data Scientist,,,"The data scientist role involves solving technical, data-driven Healthcare problems using computer science, mathematical, predictive modeling and statistical…","Chicago, IL"
1840,Statistical Genetics Data Analyst III,,,Responsibilities include data analyses and generation of figures for new grant applications and independently write analytical method sections relating to the…,"San Diego, CA"
1841,Data Analyst,"$70,000 - $80,000 a year",,"Write SQL queries for reporting, ETL, and general data analysis.Queries range in complexity depending on use case, but often require querying relational data.","Philadelphia, PA 19107 (Washington Square area)"
1842,Junior Business/Data Visualization Analyst,,Remote,"Transforms client requests into data deliverables to include data models, data mappings and data transformation.",Remote•Remote
1843,"Software Engineer, Data Science",,Remote,"Knowledge of popular data science frameworks, tools and approaches (Python, R, Machine Learning).Build tools and provide technical guidance for a team of data…","Chicago, IL 60601 (The Loop area)•Remote"
1844,Data Scientist,,Remote,Experience working with and creating data architectures.You love maintaining the infrastructure for data and related services.,"San Francisco, CA•Remote"
1845,Data Scientist,,,"Undergraduate or higher degree in data science, statistics, computer science, or other relevant areas.The nova platform integrates data from hundreds of…","New York, NY"
1846,"Data Scientist, Product Analytics (Knowledge Base)",,Remote,2-4 years experience in a data scientist or data analyst role in which you extracted meaning from big data sets with little engineering support.,"Brooklyn, NY 11201•Remote"
1847,Principal Data Scientist,,,"Analyze data, and design and implement data science or machine learning solutions.Proven experience turning data into successful products.","Cambridge, MA 02141 (East Cambridge area)"
1848,Data Scientist,,Remote,Conduct data analysis tasks in conjunction with client data SMEs.This position requires the applicant to parse disparate data sources to find the patterns and…,United States+1 location•Remote
1849,Quantitative Services Innovations Professional (Data Science...,,,Job Description:The Quantitative Services Innovations Professional will assist in software development and operational support of a reconciliation and machine…,"Chicago, IL 60661 (West Loop Gate area)"
1850,Data Labeling Quality Specialist - Federal,,,Label machine learning data from customers.Do post-process audits and write error reports on data and tasks.You will be working cross-functionally with Supply…,"St. Louis, MO"
1851,Supportability Program Manager - Big Data,,,"Strong Analytics Background, able to pull insightful data to drive decisions and improve product quality and customer experience.","Charlotte, NC"
1852,Data Analyst 3 – Cross-channel & Marketing KPIs,Up to $46.10 an hour,,The Marketing & Customer Analytics Organization is comprised of data scientists and data analysts responsible for designing and executing analytical solutions…,"Seattle, WA"
1853,Data Scientist,,Remote,"Develop strategies around data cleaning, data structure, and data tagging.Design and build new data set processes for modeling, data mining, and production…","Bolingbrook, IL 60440•Remote"
1854,Sr. Customer Engineer - Data Analyst/PowerBI- CTJ,,Remote,"At least 3+ years of Business Intelligence experience like ETL, data warehousing management, data mining, report designer or developer in an enterprise…","Reston, VA 20190 (Sunset Hills area)•Remote"
1855,Data Scientist-HomeKit,,,"Foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing.","Santa Clara Valley, CA 95014"
1856,Co-op - Data Science (Fall 2021 Semester),,,"Develop and implement data processing, including data curation and normalization.Based in our Elyria, OH location, you will directly support two major projects…","Elyria, OH"
1857,Data Analyst - Machine Learning Modeling,,Remote,"3+ years’ hands-on experience in digital data analytics related roles, experience in analyzing large data set.Health benefits and 401K offered.",Remote•Remote
1858,Data Analyst,,,"Experience with statistical analysis/data science.Own the aggregation and reporting of manufacturing systems data, including – MES data, Shop floor trend data,…","Redmond, WA"
1859,"Vice President, Data Science/Advanced Analytics","$139,000 - $191,000 a year",Remote,"Lead RDNA's data strategy including data storage, data modeling, data engineering for use in analytics, data process automation, and business continuity.",Maryland•Remote
1860,Data Engineer,,,The marketing and data science team requires an experienced and all-purpose data engineer to architect and manage a data warehouse (e.g. a datalake) along with…,"Philadelphia, NY"
1861,Data Science Trainee Summer 2021,,,Integrate internal data with external data sources and APIs to discover and implement actionable insights.Strong data cleaning and preparation skills.,"Rockville, MD 20852"
1862,PostgreSQL CloudSQL Data Engineers,,,,"San Diego, CA"
